original_summary_name,rephrased_summary_name,mbits,original_length,rephrased_length
summary_gpt4o_63_1,summary_gpt4o_64_1,482.19787863846886,2295,2483
summary_gpt4o_63_1,summary_gpt4o_52_1,521.2436740879162,2295,2113
summary_gpt4o_63_1,summary_gpt4o_31_1,338.9124569829095,2295,1221
summary_gpt4o_63_1,summary_gpt4o_140_1,500.5789433630273,2295,2344
summary_gpt4o_63_1,summary_gpt4o_40_1,426.7063486666209,2295,1951
summary_gpt4o_63_1,summary_gpt4o_23_1,224.2055412449301,2295,1001
summary_gpt4o_63_1,summary_gpt4o_189_1,613.9137963028516,2295,3213
summary_gpt4o_63_1,summary_gpt4o_185_1,538.7305834885824,2295,5430
summary_gpt4o_63_1,summary_gpt4o_85_1,559.0219939609967,2295,2360
summary_gpt4o_63_1,summary_gpt4o_187_1,567.6314885746428,2295,7899
summary_gpt4o_63_1,summary_gpt4o_78_1,471.0745587915033,2295,4135
summary_gpt4o_63_1,summary_gpt4o_66_1,447.52746801097055,2295,1977
summary_gpt4o_63_1,summary_gpt4o_17_1,190.26401244827,2295,845
summary_gpt4o_63_1,summary_gpt4o_74_1,479.90336094313375,2295,3473
summary_gpt4o_63_1,summary_gpt4o_21_1,228.9387426014157,2295,1139
summary_gpt4o_63_1,summary_gpt4o_42_1,450.6243611716616,2295,1795
summary_gpt4o_63_1,summary_gpt4o_33_1,322.3457200238771,2295,1299
summary_gpt4o_63_1,summary_gpt4o_50_1,406.1910448876271,2295,2236
summary_gpt4o_63_1,summary_gpt4o_150_1,491.4031041826072,2295,1862
summary_gpt4o_100_1,summary_gpt4o_71_1,578.0632594946779,3163,2913
summary_gpt4o_100_1,summary_gpt4o_12_1,128.95973400115,3163,606
summary_gpt4o_100_1,summary_gpt4o_63_1,583.035348804548,3163,2403
summary_gpt4o_100_1,summary_gpt4o_100_1,1314.7257737251884,3163,2915
summary_gpt4o_100_1,summary_gpt4o_28_1,324.2938496589502,3163,1243
summary_gpt4o_100_1,summary_gpt4o_55_1,528.282911425816,3163,2756
summary_gpt4o_100_1,summary_gpt4o_36_1,382.60556232259125,3163,1547
summary_gpt4o_100_1,summary_gpt4o_47_1,529.5974856300279,3163,2011
summary_gpt4o_100_1,summary_gpt4o_24_1,265.219964069521,3163,1052
summary_gpt4o_100_1,summary_gpt4o_59_1,564.500562784815,3163,2094
summary_gpt4o_100_1,summary_gpt4o_90_1,590.9684503379966,3163,2408
summary_gpt4o_100_1,summary_gpt4o_190_1,589.3168181491676,3163,3049
summary_gpt4o_100_1,summary_gpt4o_182_1,664.6105053403899,3163,6567
summary_gpt4o_100_1,summary_gpt4o_82_1,593.7727670033919,3163,3090
summary_gpt4o_100_1,summary_gpt4o_5_1,79.61016485949999,3163,347
summary_gpt4o_100_1,summary_gpt4o_9_1,169.59159190943203,3163,555
summary_gpt4o_100_1,summary_gpt4o_180_1,593.6682867743041,3163,3334
summary_gpt4o_100_1,summary_gpt4o_80_1,503.07660604101807,3163,3176
summary_gpt4o_100_1,summary_gpt4o_192_1,548.7487436661312,3163,2631
summary_gpt4o_100_1,summary_gpt4o_7_1,77.27347656397595,3163,382
summary_gpt4o_100_1,summary_gpt4o_61_1,694.3844817296747,3163,2542
summary_gpt4o_100_1,summary_gpt4o_110_1,596.0565073962982,3163,3495
summary_gpt4o_100_1,summary_gpt4o_10_1,112.50656442906003,3163,562
summary_gpt4o_100_1,summary_gpt4o_73_1,535.0729922442451,3163,2434
summary_gpt4o_100_1,summary_gpt4o_26_1,346.66105186764264,3163,1288
summary_gpt4o_100_1,summary_gpt4o_38_1,383.55947652602384,3163,1437
summary_gpt4o_100_1,summary_gpt4o_45_1,427.5902231667151,3163,1886
summary_gpt4o_100_1,summary_gpt4o_34_1,324.22395224237505,3163,1458
summary_gpt4o_100_1,summary_gpt4o_49_1,467.8161947986391,3163,2063
summary_gpt4o_100_1,summary_gpt4o_57_1,530.5133045321866,3163,2195
