summary_name,excluded_summary_name,text_length,mbits
summary_gpt4o_18_1,summary_gpt4o_8_1,737,103.85281158785999
summary_gpt4o_18_1,summary_gpt4o_83_1,737,196.34866018887203
summary_gpt4o_18_1,summary_gpt4o_54_1,737,188.18469636745004
summary_gpt4o_18_1,summary_gpt4o_13_1,737,149.57638215815996
summary_gpt4o_18_1,summary_gpt4o_170_1,737,196.219737888433
summary_gpt4o_18_1,summary_gpt4o_62_1,737,183.3659626220232
summary_gpt4o_18_1,summary_gpt4o_140_1,737,189.51690095328306
summary_gpt4o_18_1,summary_gpt4o_23_1,737,161.30565212769
summary_gpt4o_18_1,summary_gpt4o_66_1,737,201.182614882206
summary_gpt4o_18_1,summary_gpt4o_42_1,737,176.42724579920002
summary_gpt4o_18_1,summary_gpt4o_33_1,737,141.82150895184998
summary_gpt4o_75_1,summary_gpt4o_100_1,3018,598.427642159174
summary_gpt4o_75_1,summary_gpt4o_28_1,3018,277.08853743592994
summary_gpt4o_75_1,summary_gpt4o_180_1,3018,543.3941010855845
summary_gpt4o_75_1,summary_gpt4o_73_1,3018,473.592653877569
summary_gpt4o_75_1,summary_gpt4o_38_1,3018,314.823406621055
summary_gpt4o_75_1,summary_gpt4o_49_1,3018,436.1400937677372
summary_gpt4o_75_1,summary_gpt4o_3_1,3018,18.717497423073965
summary_gpt4o_75_1,summary_gpt4o_69_1,3018,458.98865823556577
summary_gpt4o_75_1,summary_gpt4o_18_1,3018,176.702564162535
summary_gpt4o_75_1,summary_gpt4o_186_1,3018,553.536646130989
summary_gpt4o_75_1,summary_gpt4o_8_1,3018,105.74841770523001
summary_gpt4o_75_1,summary_gpt4o_83_1,3018,582.4414527677399
summary_gpt4o_75_1,summary_gpt4o_54_1,3018,525.571605977206
summary_gpt4o_75_1,summary_gpt4o_13_1,3018,162.767544272284
summary_gpt4o_75_1,summary_gpt4o_170_1,3018,475.38787883975994
summary_gpt4o_75_1,summary_gpt4o_62_1,3018,413.83604190383795
summary_gpt4o_75_1,summary_gpt4o_140_1,3018,500.8412429948789
summary_gpt4o_75_1,summary_gpt4o_23_1,3018,247.28187194944798
summary_gpt4o_75_1,summary_gpt4o_66_1,3018,508.6482290923879
summary_gpt4o_75_1,summary_gpt4o_42_1,3018,446.58363201632494
summary_gpt4o_75_1,summary_gpt4o_33_1,3018,293.485038027309
summary_gpt4o_186_1,summary_gpt4o_100_1,8032,534.477699518731
summary_gpt4o_186_1,summary_gpt4o_28_1,8032,207.01618163945795
summary_gpt4o_186_1,summary_gpt4o_180_1,8032,574.7476057432141
summary_gpt4o_186_1,summary_gpt4o_73_1,8032,444.3537982133889
summary_gpt4o_186_1,summary_gpt4o_38_1,8032,298.95990454630254
summary_gpt4o_186_1,summary_gpt4o_49_1,8032,399.472602533724
summary_gpt4o_186_1,summary_gpt4o_3_1,8032,-31.923362233735034
summary_gpt4o_186_1,summary_gpt4o_69_1,8032,371.19657633364653
summary_gpt4o_186_1,summary_gpt4o_18_1,8032,123.84381287209298
summary_gpt4o_186_1,summary_gpt4o_75_1,8032,504.3564874551272
summary_gpt4o_186_1,summary_gpt4o_8_1,8032,33.658486503373965
summary_gpt4o_186_1,summary_gpt4o_83_1,8032,528.3275035264004
summary_gpt4o_186_1,summary_gpt4o_54_1,8032,523.768896187261
summary_gpt4o_186_1,summary_gpt4o_13_1,8032,65.857228652596
summary_gpt4o_186_1,summary_gpt4o_170_1,8032,440.21852662173995
summary_gpt4o_186_1,summary_gpt4o_62_1,8032,389.14560094649903
summary_gpt4o_186_1,summary_gpt4o_140_1,8032,473.89243643451
summary_gpt4o_186_1,summary_gpt4o_23_1,8032,211.99656403249003
summary_gpt4o_186_1,summary_gpt4o_66_1,8032,485.59936665427057
summary_gpt4o_186_1,summary_gpt4o_42_1,8032,338.98328358987806
summary_gpt4o_186_1,summary_gpt4o_33_1,8032,268.56941869007795
summary_gpt4o_8_1,summary_gpt4o_100_1,578,150.74342148455997
summary_gpt4o_8_1,summary_gpt4o_28_1,578,142.269566344613
summary_gpt4o_8_1,summary_gpt4o_180_1,578,133.1861190688487
summary_gpt4o_8_1,summary_gpt4o_73_1,578,142.465375047662
summary_gpt4o_8_1,summary_gpt4o_38_1,578,114.120756186502
summary_gpt4o_8_1,summary_gpt4o_49_1,578,130.7764969008773
