tag,kind,context_id,context_len,target_id,n_keypoints,target_len,mbits,rate
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_28_1,28,1243,94.78811465943112,0.14998119408137836
1000,recall,3,998,summary_gpt4o_28_1,28,1243,81.74343365507593,0.08190724815137869
1000,brief,brief_3,618,summary_gpt4o_28_1,28,1243,83.90163494122953,0.13576316333532287
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_29_1,29,1192,239.16415714958475,0.24529657143547154
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_29_1,29,1192,109.97914439922504,0.1740176335430776
1000,recall,3,998,summary_gpt4o_29_1,29,1192,82.73678728126606,0.08290259246619845
1000,brief,brief_3,618,summary_gpt4o_29_1,29,1192,82.39835141675508,0.13333066572290467
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_30_1,30,1313,195.32593526456583,0.20033429257904187
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_30_1,30,1313,114.84189675393463,0.18171186195242822
1000,recall,3,998,summary_gpt4o_30_1,30,1313,63.22871846535861,0.06335542932400662
1000,brief,brief_3,618,summary_gpt4o_30_1,30,1313,58.40224377675918,0.09450201258375271
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_31_1,31,1221,227.7774323024979,0.23361787928461325
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_31_1,31,1221,91.39786709132112,0.1446168783090524
1000,recall,3,998,summary_gpt4o_31_1,31,1221,131.843624241803,0.13210783992164632
1000,brief,brief_3,618,summary_gpt4o_31_1,31,1221,94.81898211594716,0.15342877365039995
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_32_1,32,1291,193.9881844551561,0.19896224046682678
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_32_1,32,1291,97.40501846840571,0.15412186466519892
1000,recall,3,998,summary_gpt4o_32_1,32,1291,84.72994113877667,0.0848997406200167
1000,brief,brief_3,618,summary_gpt4o_32_1,32,1291,76.1032313942244,0.12314438736929513
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_33_1,33,1299,226.58713575102297,0.23239706230874152
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_33_1,33,1299,93.88947951232,0.14855930302582276
1000,recall,3,998,summary_gpt4o_33_1,33,1299,124.95945564030605,0.12520987539108822
1000,brief,brief_3,618,summary_gpt4o_33_1,33,1299,93.74309842489004,0.15168786152894828
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_34_1,34,1458,206.3871935721354,0.21167917289449784
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_34_1,34,1458,86.20632787972954,0.13640241753121762
1000,recall,3,998,summary_gpt4o_34_1,34,1458,97.92009151864386,0.09811632416697781
1000,brief,brief_3,618,summary_gpt4o_34_1,34,1458,93.51556186972834,0.15131967940085492
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_35_1,35,1337,218.62893779916328,0.22423480799914183
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_35_1,35,1337,86.19365133809958,0.13638235971218288
1000,recall,3,998,summary_gpt4o_35_1,35,1337,115.19763414113504,0.1154284911233818
1000,brief,brief_3,618,summary_gpt4o_35_1,35,1337,102.94663017241815,0.16658030772235946
1000,summary,summary_gpt4o_23_1,975,summary_gpt4o_36_1,36,1547,151.17300067667543,0.15504923146325686
1000,short_summary,summary_gpt4o_11_1,632,summary_gpt4o_36_1,36,1547,85.35910409748544,0.13506187357197064
1000,recall,3,998,summary_gpt4o_36_1,36,1547,89.554757813994,0.08973422626652705
1000,brief,brief_3,618,summary_gpt4o_36_1,36,1547,75.56015269459203,0.12226561924691268
